,word,audio_complexity,position,sentence,start_time,end_time,set_manually,process,translation,word_occurrence,word_complexity,sentence_complexity,word_importance,sentence_group,speed,speech_volume,ambient_volume,occurrence,display
30,it,0.0107421875,9,"But you know, there's a way to handle it.",12.96,13.3,False,True,umzugehen,0.0714285714285714,0.2,0.6087593193261762,0.00927734375,7,0.726351669919013,0.6081722378730774,0.0,1.0,False
31,i,0.26806640625,1,I owe you.,13.7,13.78,False,True,Ich,0.0,0.0,0.4132427568903357,0.2763671875,8,0.4934214322767646,0.5504610538482666,0.0,0.0,False
32,owe,1.0,2,I owe you.,13.78,13.9,False,True,schulde,0.0,0.4,0.4132427568903357,0.9944725036621094,8,0.4934214322767646,0.5504610538482666,0.0,0.0,True
33,you,0.0009765625,3,I owe you.,13.9,14.46,False,True,was,0.1428571428571428,0.0,0.4132427568903357,0.510986328125,8,0.4934214322767646,0.5504610538482666,0.5930751877314948,2.0,False
34,thanks,0.1103515625,1,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",15.3,15.74,False,True,Dank,0.0,0.0,0.7203407953186747,0.083984375,9,0.5251887427654927,0.8475109338760376,0.9853379925730732,0.0,False
35,to,0.021484375,2,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",15.74,17.26,False,True,Dank,0.0714285714285714,0.0,0.7203407953186747,0.00439453125,9,0.5251887427654927,0.8475109338760376,0.6948412587314705,1.0,False
36,the,0.00927734375,3,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",17.26,17.26,False,True,der,0.0,0.0,0.7203407953186747,0.21044921875,9,0.5251887427654927,0.8475109338760376,0.5722751603225338,0.0,False
37,church,0.4580078125,4,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",17.26,17.5,False,True,Kirche,0.0,0.0,0.7203407953186747,0.9996798038482666,9,0.5251887427654927,0.8475109338760376,0.1330012020861514,0.0,False
38,of,0.01318359375,5,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",17.5,17.64,False,True,des,0.0,0.0,0.7203407953186747,0.626953125,9,0.5251887427654927,0.8475109338760376,0.1669834931446211,0.0,False
39,the,0.0263671875,6,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",17.64,17.72,False,True,die,0.0714285714285714,0.0,0.7203407953186747,0.672607421875,9,0.5251887427654927,0.8475109338760376,0.4095022430317284,1.0,False
40,collective,0.4541015625,7,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",17.72,18.08,False,True,Kollektive,0.0,0.6,0.7203407953186747,0.9999998329101912,9,0.5251887427654927,0.8475109338760376,0.0,0.0,False
41,i,0.04736328125,8,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",18.46,18.46,False,True,ich,0.0714285714285714,0.0,0.7203407953186747,0.16162109375,9,0.5251887427654927,0.8475109338760376,0.0,1.0,False
42,now,0.581787109375,9,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",,,False,True,jetzt,0.0,0.2,0.7203407953186747,0.0087890625,9,0.5251887427654927,0.8475109338760376,0.0,0.0,False
43,know,1.0,10,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",18.46,18.64,False,True,kenne,0.0714285714285714,0.0,0.7203407953186747,0.21630859375,9,0.5251887427654927,0.8475109338760376,0.0,1.0,False
44,the,0.1455078125,11,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",18.8,18.9,False,True,den,0.1428571428571428,0.0,0.7203407953186747,0.0537109375,9,0.5251887427654927,0.8475109338760376,0.0,2.0,False
45,kind,0.05517578125,12,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",18.9,19.18,False,True,Art,0.0,0.2,0.7203407953186747,0.67578125,9,0.5251887427654927,0.8475109338760376,0.0,0.0,False
46,of,0.05126953125,13,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",19.18,19.26,False,True,von,0.0714285714285714,0.0,0.7203407953186747,0.25146484375,9,0.5251887427654927,0.8475109338760376,0.0,1.0,False
47,man,0.0087890625,14,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",19.26,19.4,False,True,Mann,0.0,0.0,0.7203407953186747,0.0,9,0.5251887427654927,0.8475109338760376,0.0,0.0,False
48,i,0.01904296875,15,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",19.4,19.56,False,True,ich,0.1428571428571428,0.0,0.7203407953186747,0.92852783203125,9,0.5251887427654927,0.8475109338760376,0.0,2.0,False
49,want,0.126953125,16,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",19.56,19.74,False,True,möchte,0.0,0.2,0.7203407953186747,0.0078125,9,0.5251887427654927,0.8475109338760376,0.0965247890885677,0.0,False
50,to,0.02880859375,17,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",19.74,19.8,False,True,zu,0.1428571428571428,0.0,0.7203407953186747,0.4248046875,9,0.5251887427654927,0.8475109338760376,0.603063674649122,2.0,False
51,be,0.0087890625,18,"Thanks to the Church of the Collective, I now know the kind of man I want to be.",19.8,20.06,False,True,sein,0.0,0.0,0.7203407953186747,0.0,9,0.5251887427654927,0.8475109338760376,0.3179163492525434,0.0,False
52,bravemaeve,1.0,1,#BraveMaeve.,,,False,True,Einzelnachweise,0.0,0.0,0.4988148925290888,0.88311767578125,10,0.6325610346403169,0.5,0.0,0.0,False
53,this,0.06005859375,1,This is Homelander.,21.7,21.7,False,True,Das,0.0,0.0,0.4783507501191749,0.718017578125,11,0.8279871670642388,0.8323266506195068,0.3222780443384756,0.0,False
54,is,0.00439453125,2,This is Homelander.,21.7,21.96,False,True,ist,0.0,0.0,0.4783507501191749,0.10400390625,11,0.8279871670642388,0.8323266506195068,0.0717708158668257,0.0,False
55,homelander,1.0,3,This is Homelander.,21.96,22.54,False,True,Homelander,0.0,0.0,0.4783507501191749,1.0,11,0.8279871670642388,0.8323266506195068,0.0,0.0,False
56,he's,0.260009765625,1,He's fucking with me.,22.72,22.84,False,True,Er,0.0,0.0,0.4777263027399598,0.8013916015625,12,0.7263516699190136,0.4933592677116394,0.4891038264528329,0.0,False
57,fucking,0.150390625,2,He's fucking with me.,22.84,23.08,False,True,verarscht,0.0,0.8,0.4777263027399598,0.46337890625,12,0.7263516699190136,0.4933592677116394,0.1007186440558877,0.0,False
58,with,0.13427734375,3,He's fucking with me.,23.08,23.34,False,True,mit,0.0714285714285714,0.0,0.4777263027399598,0.9951896667480468,12,0.7263516699190136,0.4933592677116394,0.2072017927053886,1.0,False
59,me,0.001953125,4,He's fucking with me.,23.34,23.56,False,True,mich,0.0,0.0,0.4777263027399598,0.96844482421875,12,0.7263516699190136,0.4933592677116394,0.5268985917324907,0.0,False
60,i,0.0087890625,1,I can't protect you if you leave.,23.76,23.76,False,True,Ich,0.2142857142857142,0.0,0.5530793684526883,0.710693359375,13,0.5873306243819911,0.5526583790779114,0.1386468814863573,3.0,False
61,can't,0.00927734375,2,I can't protect you if you leave.,23.76,24.08,False,True,kann nicht,0.0,0.0,0.5530793684526883,0.4638671875,13,0.5873306243819911,0.5526583790779114,0.1176386464103974,0.0,False
62,protect,0.02294921875,3,I can't protect you if you leave.,24.08,24.4,False,True,beschützen,0.0,0.4,0.5530793684526883,0.15283203125,13,0.5873306243819911,0.5526583790779114,0.0286350906256075,0.0,False
63,you,0.00341796875,4,I can't protect you if you leave.,24.4,24.68,False,True,dich,0.2142857142857142,0.0,0.5530793684526883,0.98651123046875,13,0.5873306243819911,0.5526583790779114,0.0,3.0,False
64,if,0.06640625,5,I can't protect you if you leave.,24.68,24.9,False,True,wenn,0.0,0.0,0.5530793684526883,0.13330078125,13,0.5873306243819911,0.5526583790779114,0.1757604351283818,0.0,False
65,you,0.00390625,6,I can't protect you if you leave.,24.9,25.06,False,True,du,0.2857142857142857,0.0,0.5530793684526883,0.568603515625,13,0.5873306243819911,0.5526583790779114,0.1009130749082077,4.0,False
66,leave,0.04150390625,7,I can't protect you if you leave.,25.06,25.46,False,True,gehst,0.0,0.2,0.5530793684526883,0.083984375,13,0.5873306243819911,0.5526583790779114,0.0264560577705963,0.0,False
67,what,0.283203125,1,What are we gonna do?,,,False,True,Was,0.0,0.0,0.479681084931487,0.08544921875,14,0.2689414213699951,0.7520360350608826,0.3778449746225261,0.0,False
68,are,0.25390625,2,What are we gonna do?,,,False,True,machen,0.0,0.0,0.479681084931487,0.099609375,14,0.2689414213699951,0.7520360350608826,0.3778449746225261,0.0,False
69,we,0.03369140625,3,What are we gonna do?,,,False,True,wir,0.0,0.0,0.479681084931487,0.7294921875,14,0.2689414213699951,0.7520360350608826,0.3778449746225261,0.0,False
70,gonna,0.3623046875,4,What are we gonna do?,,,False,True,Wir werden,0.0,1.0,0.479681084931487,0.58056640625,14,0.2689414213699951,0.7520360350608826,0.3778449746225261,0.0,False
71,do,0.00244140625,5,What are we gonna do?,26.1,26.6,False,True,jetzt,0.0,0.0,0.479681084931487,0.2509765625,14,0.2689414213699951,0.7520360350608826,0.0,0.0,False
72,you,0.2451171875,1,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",26.86,27.08,False,True,Sie,0.3571428571428571,0.0,0.7262609438689317,0.962493896484375,15,0.523239058440566,0.9233819842338562,0.0,5.0,False
73,think,0.0400390625,2,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",27.08,27.48,False,True,denken,0.0,0.0,0.7262609438689317,0.9918060302734376,15,0.523239058440566,0.9233819842338562,0.0,0.0,False
74,by,0.68017578125,3,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",27.48,27.86,False,True,von,0.0,0.0,0.7262609438689317,0.74169921875,15,0.523239058440566,0.9233819842338562,0.015996640811426,0.0,False
75,saving,0.01416015625,4,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",27.86,28.3,False,True,retten,0.0,0.6,0.7262609438689317,0.1513671875,15,0.523239058440566,0.9233819842338562,0.0247587690159623,0.0,False
76,kimiko,1.0,5,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",28.3,28.78,False,True,Kimiko,0.0,0.0,0.7262609438689317,0.9542236328125,15,0.523239058440566,0.9233819842338562,0.0,0.0,False
77,you,0.05908203125,6,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",28.92,29.0,False,True,Sie,0.4285714285714285,0.0,0.7262609438689317,0.9999999978701908,15,0.523239058440566,0.9233819842338562,0.0,6.0,False
78,can,0.11328125,7,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",29.0,29.18,False,True,können,0.0,0.2,0.7262609438689317,0.005859375,15,0.523239058440566,0.9233819842338562,0.0,0.0,False
79,make,0.00390625,8,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",29.18,29.34,False,True,leisten,0.0,0.2,0.7262609438689317,0.47412109375,15,0.523239058440566,0.9233819842338562,0.0,0.0,True
80,amends,1.0,9,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",29.34,29.9,False,True,Wiedergutmachung,0.0,0.4,0.7262609438689317,0.4580078125,15,0.523239058440566,0.9233819842338562,0.0,0.0,True
81,for,1.0,10,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",29.9,30.16,False,True,für,0.0,0.2,0.7262609438689317,0.00927734375,15,0.523239058440566,0.9233819842338562,0.0,0.0,False
82,those,1.0,11,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",30.16,30.3,False,True,diese,0.0,0.0,0.7262609438689317,0.9592127203941344,15,0.523239058440566,0.9233819842338562,0.0,0.0,False
83,children,0.173828125,12,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",30.3,30.78,False,True,Kindern,0.0,0.0,0.7262609438689317,0.72216796875,15,0.523239058440566,0.9233819842338562,0.0,0.0,False
84,that,0.11083984375,13,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",30.78,31.16,False,True,die,0.0,0.2,0.7262609438689317,0.9425048828125,15,0.523239058440566,0.9233819842338562,0.0,0.0,False
85,lamplighter,1.0,14,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",,,False,True,Lamplighter,0.0,1.0,0.7262609438689317,0.988189697265625,15,0.523239058440566,0.9233819842338562,0.0656525028404657,0.0,False
86,burned,1.0,15,"You think, by saving Kimiko, you can make amends for those children that Lamplighter burned.",,,False,True,verbrannt,0.0,0.2,0.7262609438689317,0.87872314453125,15,0.523239058440566,0.9233819842338562,0.0656525028404657,0.0,False
87,fuck,0.72119140625,1,Fuck you.,32.68,32.9,False,True,Leck,0.0,1.0,0.3712614788208037,0.9999171495437622,16,0.2863774514078414,0.683820366859436,0.0,0.0,False
88,you,0.00732421875,2,Fuck you.,32.9,33.6,False,True,Sie,0.5,0.0,0.3712614788208037,0.7796630859375,16,0.2863774514078414,0.683820366859436,0.0,7.0,False
89,you,0.28564453125,1,You can't go through this on your own.,33.68,33.94,False,True,Du,0.5714285714285714,0.0,0.5731924983865031,0.05322265625,17,0.6634197805185804,0.5994091629981995,0.0,8.0,False
90,can't,1.0,2,You can't go through this on your own.,,,False,True,kannst nicht,0.0714285714285714,0.0,0.5731924983865031,0.26123046875,17,0.6634197805185804,0.5994091629981995,0.0,1.0,True
91,go,1.0,3,You can't go through this on your own.,34.1,34.26,False,True,durchmachen,0.0,0.2,0.5731924983865031,0.119140625,17,0.6634197805185804,0.5994091629981995,0.0,0.0,True
92,through,1.0,4,You can't go through this on your own.,34.26,34.38,False,True,durchmachen,0.0,0.2,0.5731924983865031,0.8282470703125,17,0.6634197805185804,0.5994091629981995,0.0,0.0,True
93,this,0.736083984375,5,You can't go through this on your own.,34.38,34.6,False,True,das,0.0714285714285714,0.0,0.5731924983865031,0.5185546875,17,0.6634197805185804,0.5994091629981995,0.0166801485848392,1.0,False
94,on,1.0,6,You can't go through this on your own.,34.6,34.8,False,True,am,0.0,0.2,0.5731924983865031,0.691650390625,17,0.6634197805185804,0.5994091629981995,0.0,0.0,False
95,your,1.0,7,You can't go through this on your own.,,,False,True,Ihre,0.0,0.0,0.5731924983865031,0.00439453125,17,0.6634197805185804,0.5994091629981995,0.1810214006821304,0.0,False
96,own,1.0,8,You can't go through this on your own.,,,False,True,eigene,0.0,0.2,0.5731924983865031,0.01708984375,17,0.6634197805185804,0.5994091629981995,0.1810214006821304,0.0,False
97,we're,0.228515625,1,We're all alone.,35.32,35.5,False,True,Wir sind,0.0,0.0,0.448876090710005,0.451171875,18,0.6374012620227342,0.7430766820907593,0.0,0.0,False
98,all,0.00537109375,2,We're all alone.,35.5,35.68,False,True,ganz,0.0,0.0,0.448876090710005,0.531494140625,18,0.6374012620227342,0.7430766820907593,0.0,0.0,False
99,alone,0.279296875,3,We're all alone.,35.68,36.1,False,True,allein,0.0,0.2,0.448876090710005,0.95013427734375,18,0.6374012620227342,0.7430766820907593,0.2756767835855045,0.0,False
100,how,0.0908203125,1,How do you think the world will feel when I tell them that you used to be Liberty?,39.42,39.9,False,True,Wie,0.0,0.0,0.6934955762509145,0.05810546875,19,0.3221915256463308,0.5829569697380066,0.9843401190446212,0.0,False
101,do,0.00146484375,2,How do you think the world will feel when I tell them that you used to be Liberty?,39.9,43.74,False,True,tun,0.0714285714285714,0.0,0.6934955762509145,0.00146484375,19,0.3221915256463308,0.5829569697380066,0.3579442176813814,1.0,False
102,you,0.00390625,3,How do you think the world will feel when I tell them that you used to be Liberty?,43.74,43.9,False,True,Sie,0.6428571428571429,0.0,0.6934955762509145,0.01708984375,19,0.3221915256463308,0.5829569697380066,0.0,9.0,False
103,think,0.02880859375,4,How do you think the world will feel when I tell them that you used to be Liberty?,43.9,44.3,False,True,denken,0.0714285714285714,0.0,0.6934955762509145,0.02587890625,19,0.3221915256463308,0.5829569697380066,0.0,1.0,False
104,the,0.01513671875,5,How do you think the world will feel when I tell them that you used to be Liberty?,44.3,44.44,False,True,die,0.2142857142857142,0.0,0.6934955762509145,0.05419921875,19,0.3221915256463308,0.5829569697380066,0.0,3.0,False
105,world,0.02783203125,6,How do you think the world will feel when I tell them that you used to be Liberty?,44.44,44.68,False,True,Welt,0.0,0.0,0.6934955762509145,0.955596923828125,19,0.3221915256463308,0.5829569697380066,0.0,0.0,False
106,will,0.0068359375,7,How do you think the world will feel when I tell them that you used to be Liberty?,44.68,44.92,False,True,wohl,0.0,0.2,0.6934955762509145,0.07666015625,19,0.3221915256463308,0.5829569697380066,0.1650581462588276,0.0,False
107,feel,0.0048828125,8,How do you think the world will feel when I tell them that you used to be Liberty?,44.92,45.16,False,True,fühlen,0.0,0.2,0.6934955762509145,0.7623291015625,19,0.3221915256463308,0.5829569697380066,0.0,0.0,False
108,when,0.017578125,9,How do you think the world will feel when I tell them that you used to be Liberty?,45.16,45.42,False,True,wenn,0.0,0.0,0.6934955762509145,0.38916015625,19,0.3221915256463308,0.5829569697380066,0.1705723533684171,0.0,False
109,i,0.00732421875,10,How do you think the world will feel when I tell them that you used to be Liberty?,45.42,45.54,False,True,i,0.2857142857142857,0.0,0.6934955762509145,0.9972171783447266,19,0.3221915256463308,0.5829569697380066,0.0,4.0,False
110,tell,0.0078125,11,How do you think the world will feel when I tell them that you used to be Liberty?,45.54,45.84,False,True,sage,0.0,0.0,0.6934955762509145,0.0322265625,19,0.3221915256463308,0.5829569697380066,0.3254781909954237,0.0,False
111,them,1.0,12,How do you think the world will feel when I tell them that you used to be Liberty?,,,False,True,ihnen,0.0,0.0,0.6934955762509145,0.423828125,19,0.3221915256463308,0.5829569697380066,0.1735558485042085,0.0,False
112,that,0.00634765625,13,How do you think the world will feel when I tell them that you used to be Liberty?,46.1,46.24,False,True,dass,0.0714285714285714,0.2,0.6934955762509145,0.1123046875,19,0.3221915256463308,0.5829569697380066,0.2789175199975273,1.0,False
113,you,0.595458984375,14,How do you think the world will feel when I tell them that you used to be Liberty?,46.24,46.42,False,True,du,0.7142857142857143,0.0,0.6934955762509145,0.97503662109375,19,0.3221915256463308,0.5829569697380066,0.0,10.0,False
114,used,0.18359375,15,How do you think the world will feel when I tell them that you used to be Liberty?,46.42,46.64,False,True,verwendet,0.0,0.2,0.6934955762509145,0.915771484375,19,0.3221915256463308,0.5829569697380066,0.2335489878827135,0.0,False
115,to,0.001953125,16,How do you think the world will feel when I tell them that you used to be Liberty?,46.64,46.8,False,True,zu,0.2142857142857142,0.0,0.6934955762509145,0.00048828125,19,0.3221915256463308,0.5829569697380066,0.1645542555585101,3.0,False
116,be,0.00146484375,17,How do you think the world will feel when I tell them that you used to be Liberty?,46.8,46.9,False,True,früher,0.0714285714285714,0.0,0.6934955762509145,0.7554931640625,19,0.3221915256463308,0.5829569697380066,0.0,1.0,False
117,liberty,0.16796875,18,How do you think the world will feel when I tell them that you used to be Liberty?,46.9,47.38,False,True,Freiheit,0.0,0.2,0.6934955762509145,0.9999991655349731,19,0.3221915256463308,0.5829569697380066,0.0579251171147529,0.0,False
118,wow,0.0771484375,1,Wow.,48.52,48.54,True,True,Wow,0.0,1.0,0.2538145845675405,0.9999973177909852,20,0.9999999998973812,0.7959574460983276,0.3158863430165296,,False
119,why,1.0,1,Why are you laughing?,55.400000000000006,56.0,False,True,Warum,0.0,0.0,0.4488781670125698,0.08154296875,21,0.5996113881475201,0.4238273799419403,0.3328701927594965,0.0,False
120,are,1.0,2,Why are you laughing?,56.0,56.0,False,True,sie werden,0.0714285714285714,0.0,0.4488781670125698,0.0244140625,21,0.5996113881475201,0.4238273799419403,0.0,1.0,False
121,you,1.0,3,Why are you laughing?,56.0,56.16,False,True,du,0.7857142857142857,0.0,0.4488781670125698,0.169921875,21,0.5996113881475201,0.4238273799419403,0.1553192715211314,11.0,False
122,laughing,1.0,4,Why are you laughing?,56.16,56.44,False,True,lachst,0.0,0.2,0.4488781670125698,0.9983835220336914,21,0.5996113881475201,0.4238273799419403,0.5650831445779902,0.0,False
123,you're,1.0,1,You're ridiculous.,56.68,56.68,False,True,Du bist,0.0,0.0,0.4130029095201996,0.23779296875,22,0.1192029220221175,0.0139150191098451,0.8075364916298219,0.0,False
124,ridiculous,1.0,2,You're ridiculous.,56.68,56.68,False,True,lächerlich,0.0,0.4,0.4130029095201996,0.4775390625,22,0.1192029220221175,0.0139150191098451,0.8075364916298219,0.0,False
125,oh,1.0,1,"Oh, no.",57.24,57.74,True,True,"Oh, nein!",0.0,0.6,0.4133015439678683,0.9989376068115234,23,0.3142147624658176,0.3025583326816559,0.6483104745331594,,False
126,no,1.0,2,"Oh, no.",57.74,58.06,False,True,nein,0.0,0.0,0.4133015439678683,0.4013671875,23,0.3142147624658176,0.3025583326816559,0.6333193003025609,0.0,False
127,i,1.0,1,"I am not, uh, ridiculous.",58.06,58.8,False,True,Ich,0.3571428571428571,0.0,0.5274148533255242,0.029296875,24,0.7639760530695237,0.4254393577575683,0.0727543026695327,5.0,False
128,am,1.0,2,"I am not, uh, ridiculous.",58.8,58.8,False,True,bin,0.0,0.0,0.5274148533255242,0.871337890625,24,0.7639760530695237,0.4254393577575683,0.0,0.0,False
129,not,1.0,3,"I am not, uh, ridiculous.",58.8,58.8,False,True,nicht,0.0,0.0,0.5274148533255242,0.963165283203125,24,0.7639760530695237,0.4254393577575683,0.0,0.0,False
130,uh,1.0,4,"I am not, uh, ridiculous.",,,True,True,- Nein.,0.0,1.0,0.5274148533255242,0.0537109375,24,0.7639760530695237,0.4254393577575683,0.7419121718375269,,False
131,ridiculous,1.0,5,"I am not, uh, ridiculous.",59.32,59.32,False,True,lächerlich,0.0714285714285714,0.4,0.5274148533255242,0.983184814453125,24,0.7639760530695237,0.4254393577575683,0.2212596247759547,1.0,False
132,okay,0.580322265625,1,Okay.,60.5,61.1,False,True,Ordnung,0.0,0.0,0.2771976068587308,0.9991769790649414,25,0.4174297935376843,0.6177666187286377,0.1711644601240158,0.0,False
133,then,0.5390625,1,Then you are high.,61.1,61.14,False,True,Dann,0.0,0.0,0.4437928199050078,0.9404296875,26,0.4717283008140469,0.6231986880302429,0.0,0.0,False
